"concept_id","concept_name","concept_code","vocabulary_id"
3004809,"Band form neutrophils/100 leukocytes in Blood","26508-2","LOINC"
3035839,"Band form neutrophils/100 leukocytes in Blood by Automated count","35332-6","LOINC"
3007591,"Band form neutrophils/100 leukocytes in Blood by Manual count","764-1","LOINC"
43055363,"Band form neutrophils/Leukocytes [Pure number fraction] in Blood by Manual count","71670-4","LOINC"
37025186,"Neutrophils/100 cells","LP286652-5","LOINC"
37028517,"Neutrophils/100 leukocytes","LP286653-3","LOINC"
37049637,"Neutrophils/100 leukocytes | Blood | Hematology and Cell counts","LP392722-7","LOINC"
3018010,"Neutrophils/100 leukocytes in Blood","26511-6","LOINC"
3008342,"Neutrophils/100 leukocytes in Blood by Automated count","770-8","LOINC"
3027368,"Neutrophils/100 leukocytes in Blood by Manual count","23761-0","LOINC"
37058224,"Neutrophils.band form/100 cells","LP286643-4","LOINC"
37063550,"Neutrophils.band form/100 leukocytes","LP286644-2","LOINC"
37064774,"Neutrophils.band form/100 leukocytes | Blood | Hematology and Cell counts","LP392682-3","LOINC"
37074101,"Neutrophils.band form/leukocytes","LP286645-9","LOINC"
37046293,"Neutrophils.band form/leukocytes | Blood | Hematology and Cell counts","LP392688-0","LOINC"
37052811,"Neutrophils.hypersegmented/100 leukocytes","LP286646-7","LOINC"
37041653,"Neutrophils.hypersegmented/100 leukocytes | Blood | Hematology and Cell counts","LP392665-8","LOINC"
3009864,"Neutrophils.hypersegmented/100 leukocytes in Blood","30450-1","LOINC"
3025887,"Neutrophils.hypersegmented/100 leukocytes in Blood by Manual count","767-4","LOINC"
37076686,"Neutrophils.immature/100 leukocytes","LP286647-5","LOINC"
37030613,"Neutrophils.immature/100 leukocytes | Blood | Hematology and Cell counts","LP392704-5","LOINC"
3042527,"Neutrophils.immature/100 leukocytes in Blood","53797-7","LOINC"
37064170,"Neutrophils/leukocytes","LP286655-8","LOINC"
37076759,"Neutrophils/leukocytes | Blood | Hematology and Cell counts","LP392714-4","LOINC"
43055369,"Neutrophils/Leukocytes [Pure number fraction] in Blood by Automated count","71676-1","LOINC"
43055364,"Neutrophils/Leukocytes [Pure number fraction] in Blood by Manual count","71671-2","LOINC"
37036514,"Neutrophils.segmented/100 cells","LP286649-1","LOINC"
37030411,"Neutrophils.segmented/100 leukocytes","LP286650-9","LOINC"
37022434,"Neutrophils.segmented/100 leukocytes | Blood | Hematology and Cell counts","LP392668-2","LOINC"
37035815,"Neutrophils.segmented/leukocytes","LP286651-7","LOINC"
3017354,"Segmented neutrophils/100 leukocytes in Blood","26505-8","LOINC"
3012608,"Segmented neutrophils/100 leukocytes in Blood by Automated count","32200-8","LOINC"
3028108,"Segmented neutrophils/100 leukocytes in Blood by Manual count","769-0","LOINC"
