"concept_id","concept_name","concept_code","vocabulary_id","category"
41425266,"100 ML Aztreonam 20 MG/ML Injectable Solution","OMOP2623228","RxNorm Extension","aztreonam"
41415821,"100 ML Aztreonam 20 MG/ML Injectable Solution Box of 5","OMOP2613783","RxNorm Extension","aztreonam"
41422710,"100 ML Aztreonam 20 MG/ML Injectable Solution Box of 500","OMOP2620672","RxNorm Extension","aztreonam"
41421816,"100 ML Aztreonam 20 MG/ML Injectable Suspension","OMOP2619778","RxNorm Extension","aztreonam"
41424816,"100 ML Aztreonam 20 MG/ML Injectable Suspension [Dynabiotic]","OMOP2622778","RxNorm Extension","aztreonam"
589810,"100 ML Aztreonam 20 MG/ML Injection","OMOP3136692","RxNorm Extension","aztreonam"
41420541,"100 ML Aztreonam 20 MG/ML Injection [Azactam]","OMOP2618503","RxNorm Extension","aztreonam"
41423136,"100 ML Aztreonam 20 MG/ML Injection [Azactam] Box of 5","OMOP2621098","RxNorm Extension","aztreonam"
41423135,"100 ML Aztreonam 20 MG/ML Injection [Azactam] Box of 500","OMOP2621097","RxNorm Extension","aztreonam"
588914,"100 ML Aztreonam 20 MG/ML Injection Box of 5","OMOP3136144","RxNorm Extension","aztreonam"
587970,"100 ML Aztreonam 20 MG/ML Injection Box of 500","OMOP3137507","RxNorm Extension","aztreonam"
41364476,"10 ML Aztreonam 100 MG/ML Injectable Solution","OMOP2562438","RxNorm Extension","aztreonam"
41363028,"10 ML Aztreonam 100 MG/ML Injectable Solution Box of 5","OMOP2560990","RxNorm Extension","aztreonam"
41368994,"10 ML Aztreonam 100 MG/ML Injectable Solution Box of 500","OMOP2566956","RxNorm Extension","aztreonam"
41366319,"10 ML Aztreonam 100 MG/ML Injectable Solution [Dynabiotic]","OMOP2564281","RxNorm Extension","aztreonam"
589978,"10 ML Aztreonam 100 MG/ML Injection","OMOP3136697","RxNorm Extension","aztreonam"
41369391,"10 ML Aztreonam 100 MG/ML Injection [Azactam]","OMOP2567353","RxNorm Extension","aztreonam"
41365567,"10 ML Aztreonam 100 MG/ML Injection [Azactam] Box of 5","OMOP2563529","RxNorm Extension","aztreonam"
41364110,"10 ML Aztreonam 100 MG/ML Injection [Azactam] Box of 500","OMOP2562072","RxNorm Extension","aztreonam"
588658,"10 ML Aztreonam 100 MG/ML Injection Box of 5","OMOP3137293","RxNorm Extension","aztreonam"
590280,"10 ML Aztreonam 100 MG/ML Injection Box of 500","OMOP3135413","RxNorm Extension","aztreonam"
41369773,"10 ML Aztreonam 200 MG/ML Injectable Solution","OMOP2567735","RxNorm Extension","aztreonam"
41368995,"10 ML Aztreonam 200 MG/ML Injectable Solution Box of 5","OMOP2566957","RxNorm Extension","aztreonam"
41362280,"10 ML Aztreonam 200 MG/ML Injectable Solution Box of 500","OMOP2560242","RxNorm Extension","aztreonam"
41364823,"10 ML Aztreonam 200 MG/ML Injectable Solution [Dynabiotic]","OMOP2562785","RxNorm Extension","aztreonam"
586615,"10 ML Aztreonam 200 MG/ML Injection","OMOP3137833","RxNorm Extension","aztreonam"
41373157,"10 ML Aztreonam 200 MG/ML Injection [Azactam]","OMOP2571119","RxNorm Extension","aztreonam"
